City,Category,Name of the Organisation,Description and/or Service Provided,Phone Number,Contact
Agartala,CoVID-19 Testing Lab, Government Medical College,Government approved and supported Testing labs by ICMR,0381 2356701,http://www.agmc.nic.in/
Agartala,CoVID-19 Testing Lab,Government Medical College,Government approved and supported Testing labs by ICMR,381 235 6701,http://www.agmc.nic.in/
Ahmedabad,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",Soul connect,Distributing grains at jamalpur and thaltej areas,9275047215,https://www.facebook.com/lmp.soulconnect/
Ahmedabad,Free Food,AMC,"Ahmedabad Municipal Corporation provide free food packets, Food Kits, Fumigation Work, Quarantine, Vegetables on Wheels, Health Checkup",9726416131,https://twitter.com/vnehra/status/1244443394039922689?s=21
Ahmedabad,Other,Special website byGovt of gujarat for covid19,https://gujcovid19.gujarat.gov.in/,7600787089,https://gujcovid19.gujarat.gov.in/
Ahmedabad,CoVID-19 Testing Lab,BJ Medical College,Government approved and supported Testing labs by ICMR,79 2268 0074,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Ahmedabad,Free Food,Infoanalytica foundation,Providing food in times of covid,9727988901,https://www.instagram.com/infoanalytica_foundation/
Ahmedabad,Free Food,Elixir Foundation,Funds will utilized for buying grocery materials  and another basic necessities. ,9016558924,https://pages.razorpay.com/pl_EW357Eyk0tOlaa/view
Ahmednagar,"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",Snehalaya,"Drive to provide 'Midday meal to families living in slums' around the area where they work. People can contributefood grains, vegetables or other fresh food items to the slum community directly or through them. Snehalaya plans to take this drive to 17 official slums in Ahmednagar. ",9011020173,https://www.snehalaya.org
Ajmer,CoVID-19 Testing Lab, JLN Medical College,Government approved and supported Testing labs by ICMR,0145 2425050,https://education.rajasthan.gov.in/jlnmcajmer
Ajmer,CoVID-19 Testing Lab,JLN Medical College,Government approved and supported Testing labs by ICMR,145 242 5050,https://education.rajasthan.gov.in/jlnmcajmer
Alappuzha,Hospitals and Centers,Govt. Medical College,Covid care treatment & isolation facility here,0477–2282367,https://www.tdmcalappuzha.org/
Alappuzha,Government Helpline,District Corona Control Room,Phone number of district corona control room - Alapuzha,04772239999,http://www.alappuzha.nic.in
Alappuzha,CoVID-19 Testing Lab,National Institute of Virology Field Unit,Government approved and supported Testing labs by ICMR,0477 2282367,https://www.tdmcalappuzha.org/
Alappuzha,CoVID-19 Testing Lab,national institute of virology,Government approved and supported Testing labs by ICMR,NA,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Aligarh,CoVID-19 Testing Lab, Jawaharlal Nehru Medical College,Government approved and supported Testing labs by ICMR,Not availed,https://amu.ac.in/principal.jsp?did=10146
Aligarh,Free Food,Meraj Foundation ,Providing food to needy.,8700359640,https://www.instagram.com/meraj_foundation/
Amritsar,CoVID-19 Testing Lab,Govt. Medical College,Government approved and supported Testing labs by ICMR,0183 2426918,http://gmc.edu.in/
Amritsar,CoVID-19 Testing Lab,Govt. Medical College,Government approved and supported Testing labs by ICMR,183 242 6918,http://gmc.edu.in/
Anantapur,CoVID-19 Testing Lab,Govt. Medical College,Government Approved and Supported Testing Lab by ICMR,NA,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
